id,title,price,amount,image_path,author_id
1,UK для начинающих,446.0,69,2145620.jpg,1
2,Под личиной,333.0,24,2147913.jpg,2
3,Плоть,748.0,68,2148640.jpg,3
4,Прогулки по мартовскому льду,213.0,26,2160528.jpg,4
5,Коби Брайант. Философия игры и жизни легендарной Черной Мамбы,1195.0,30,2947285.jpg,5
6,Пятерка с хвостиком,2400.0,41,2949986.jpg,6
7,Картина кровью,625.0,91,2950974.jpg,7
8,Дорога проклятых кошек,545.0,97,2951014.jpg,8
9,Колесница времени,269.0,98,2951089.jpg,9
10,Диктатор,771.0,52,2951614.jpg,10
11,Кодекс убийцы,1472.0,22,2952623.jpg,11
12,"Солнце, что следует за Луной. Ожидание",1466.0,42,2952643.jpg,12
13,Джейн Эйр,389.0,87,2953651.jpg,13
14,Третья,1549.0,41,2953815.jpg,14
15,"Попала - не пропала, или Мой похититель из будущего",1641.0,23,2953819.jpg,15
16,24 секунды до последнего выстрела,1817.0,44,2953820.jpg,16
17,Лунный эльф для сиротки,1459.0,36,2953822.jpg,17
18,Все пути ведут в Рай,1413.0,39,2953843.jpg,18
19,Моя мачеха - иномирянка,1407.0,35,2953844.jpg,18
20,(Не)идеальная для монстра,1368.0,22,2953846.jpg,19
21,Поцелуй молнии,1370.0,74,2953859.jpg,20
22,Тайная мистерия для золотой бабочки,1186.0,68,2953861.jpg,21
23,Хренодерский переполох. Том 1,1375.0,40,2953866.jpg,22
24,Летопись безумных дней,1797.0,20,2953869.jpg,23
25,Наперекор канонам,1712.0,40,2953870.jpg,23
26,"Сын ведьмы. Там, за западным морем",1377.0,51,2953875.jpg,24
27,Тени,1574.0,88,2953877.jpg,23
28,Гостья другого времени,1804.0,74,2953884.jpg,25
29,Мой мурчащий господин,1247.0,85,2953888.jpg,20
30,Невеста Обалуайе,1649.0,53,2953892.jpg,26
31,Ключи Царства: роман,182.0,62,2954034.jpg,27
32,Маленькие женщины: роман,182.0,22,2954037.jpg,28
33,Машина Времени. Остров доктора Моро: романы,182.0,36,2954039.jpg,29
34,Иду на грозу. Мой лейтенант,995.0,72,2954371.jpg,30
35,История одного города,1233.0,43,2954372.jpg,31
36,Узник замка Я,547.0,38,2955015.jpg,32
37,Научите меня летать,1869.0,82,2955018.jpg,33
38,1000 не одна боль,1297.0,39,2955019.jpg,34
39,1000 не одна ночь,1320.0,33,2955020.jpg,34
40,Дар в Наследство,1557.0,22,2955022.jpg,35
41,Восемь. Знак бесконечности,1350.0,58,2955023.jpg,34
42,Инсайт. Книга 1,1726.0,13,2955024.jpg,36
43,Янтарный меч,1772.0,78,2955025.jpg,37
44,Дисгардиум. Книга 3. Чумной мор,1864.0,93,2955026.jpg,38
45,Сельскохозяйственная история попаданки,1461.0,87,2955030.jpg,39
46,Твои глаза бездонные,1472.0,34,2955031.jpg,26
47,Хвост ледяной кометы,1247.0,98,2955032.jpg,20
48,Все получится,1443.0,95,2955033.jpg,40
49,Миллиард Секунд,1420.0,14,2955034.jpg,41
50,Тайная история Тартарии. Том III: Что скрывает глухомань?,1886.0,74,2955039.jpg,42
51,"Брат вождя, или Увидеть Кима и умереть",904.0,21,2955040.jpg,43
52,Дымка: повесть,861.0,43,2955041.jpg,44
53,Казан,929.0,91,2955042.jpg,45
54,Лэд,1098.0,62,2955043.jpg,46
55,Очарованный джазмен,1148.0,50,2955044.jpg,47
56,Сын Казана,912.0,13,2955045.jpg,45
57,Предлагаю только интим,1307.0,14,2955050.jpg,48
58,Бег на тонких ногах,1374.0,82,2955051.jpg,49
59,Дочь тракториста,1641.0,72,2955052.jpg,50
60,Неверный Ромео,1409.0,11,2955053.jpg,51
61,Рисовальщик: роман,1325.0,77,2955054.jpg,52
62,Чудесный отец,1656.0,28,2955055.jpg,53
63,Время воды,1141.0,76,2955056.jpg,52
64,"Все, что помню",1398.0,53,2955057.jpg,54
65,Дарина,1389.0,12,2955058.jpg,55
66,Девочка по имени Ривер,1229.0,39,2955059.jpg,56
67,Колыбелька из прутиков вербы,1232.0,33,2955060.jpg,56
68,Любовь Эрвина Буридана,1472.0,20,2955061.jpg,57
69,Ослепляющая страсть,1450.0,14,2955062.jpg,57
70,Я пел бы в пламенном бреду,1425.0,74,2955063.jpg,58
71,Списание,1428.0,57,2955064.jpg,59
72,Бродяги Севера,1089.0,75,2955065.jpg,45
73,Дон Кихот,1174.0,65,2955068.jpg,60
74,Молниеносный,874.0,24,2955069.jpg,45
75,Любовь ангела,1350.0,48,2955072.jpg,61
76,Дар оборотня,1389.0,35,2955073.jpg,61
77,Юноша с татуировкой лотоса,1407.0,28,2955074.jpg,61
78,Девушка с жемчужной кожей,1459.0,58,2955075.jpg,61
79,Страницы моей жизни. Воспоминания подруги императрицы Александры Федоровны,925.0,88,2955694.jpg,62
80,Моя жизнь,1058.0,69,2955696.jpg,63
81,Тени теней,595.0,54,2955845.jpg,64
82,Сеть смерти,595.0,37,2955846.jpg,65
83,В аду Сталинграда,775.0,39,2955849.jpg,66
84,Книги про котиков для всей семьи (комплект из 2 книг),2563.0,15,2956273.jpg,67
85,Заколка,705.0,48,2956275.jpg,68
86,"Трансформация. Книга третья: ""Желания и риски""",688.0,64,2956276.jpg,69
87,Нагуаль. Книга 1,1262.0,19,2956277.jpg,70
88,Брачный договор с незнакомцем,1388.0,85,2956279.jpg,71
89,Закон притяжения,1912.0,98,2956280.jpg,72
90,Когда вода заговорит,1427.0,21,2956281.jpg,73
91,Куплю свое счастье,1359.0,39,2956282.jpg,74
92,Наследник по контракту,1441.0,93,2956283.jpg,75
93,"Нежеланный брак, или Сделка с оборотнем",1428.0,85,2956284.jpg,76
94,Непокорная,1710.0,87,2956285.jpg,77
95,Пленница сети,1292.0,18,2956286.jpg,78
96,Призванная в подарок,1581.0,56,2956287.jpg,79
97,"Столичный ""принц"" для молодой мамы",1428.0,73,2956288.jpg,80
98,Табу на вожделение,1864.0,37,2956289.jpg,72
99,Академия Кривых Зеркал,1710.0,17,2956290.jpg,81
100,Город,1608.0,98,2956291.jpg,82
101,"Отбор поневоле, или Как не убить эльфа",1370.0,17,2956292.jpg,83
102,Повелительница леса,2161.0,59,2956293.jpg,84
103,Подари мне крылья. Книга четвертая,1364.0,54,2956294.jpg,85
104,Призванная на отбор,1727.0,51,2956295.jpg,84
105,Феникс для снежного дракона,1784.0,67,2956296.jpg,84
106,Вышел месяц из тумана,1694.0,26,2956298.jpg,26
107,Катенька,1045.0,75,2956299.jpg,86
108,Ответный удар,1658.0,48,2956300.jpg,87
109,Госпожа чародейка,1420.0,72,2956301.jpg,88
110,Катарисса,1979.0,99,2956302.jpg,55
111,Башмаки у двери спальни,1341.0,48,2956305.jpg,89
112,Близкие люди. Книга вторая,1834.0,69,2956306.jpg,90
113,Индекс Цитирования,1267.0,62,2956307.jpg,91
114,Королевская охота. Книга третья,1352.0,63,2956309.jpg,90
115,Миссис Смерть,1488.0,77,2956310.jpg,89
116,Фея страшных снов,1403.0,20,2956311.jpg,89
117,Гризли,834.0,100,2956314.jpg,92
118,Достоевский в воспоминаниях современников. Том 2: За границей. Расцвет творчества. Пушкинская речь. Смерть на верху славы,2090.0,96,2956315.jpg,93
119,Браслет Второй,859.0,42,2956318.jpg,94
120,"Водская, 5",1269.0,88,2956319.jpg,95
